provincia,departamento,jardines,poblacion_jardin,primarias,poblacion_primaria,secundarios,poblacion_secundaria
Río Negro,CONESA,7,260.0,9,840.0,2,630.0
Río Negro,VALCHETA,5,134.0,8,457.0,4,367.0
Río Negro,EL CUY,8,200.0,8,901.0,8,675.0
Río Negro,9 DE JULIO,5,88.0,7,408.0,6,321.0
Salta,CAPITAL,185,18538.0,156,72054.0,128,59245.0
Salta,GENERAL JOSE DE SAN MARTIN,106,7050.0,108,25874.0,44,20452.0
Salta,RIVADAVIA,95,1699.0,103,6427.0,16,4929.0
Salta,ORAN,70,6038.0,66,22746.0,27,18047.0
Salta,ANTA,53,2456.0,55,9429.0,22,7601.0
Salta,SANTA VICTORIA,35,393.0,44,1436.0,7,1218.0
Salta,ROSARIO DE LERMA,35,1824.0,33,6604.0,10,5208.0
Salta,ROSARIO DE LA FRONTERA,29,1118.0,32,4146.0,10,3302.0
Salta,METAN,26,1649.0,27,5695.0,14,4488.0
Salta,GENERAL GUEMES,29,1804.0,27,6917.0,11,5526.0
Salta,IRUYA,18,260.0,24,930.0,6,785.0
Salta,SAN CARLOS,20,269.0,21,1102.0,5,812.0
Salta,CERRILLOS,22,2013.0,18,8047.0,9,6079.0
Salta,CHICOANA,18,798.0,18,3014.0,6,2568.0
Salta,CACHI,15,299.0,16,1236.0,6,883.0
Salta,MOLINOS,14,210.0,14,837.0,6,706.0
Salta,GUACHIPAS,8,136.0,10,403.0,2,332.0
Salta,CAFAYATE,10,545.0,10,2378.0,6,1887.0
Salta,LA CALDERA,12,360.0,9,1430.0,3,1076.0
Salta,LOS ANDES,9,322.0,8,1130.0,4,923.0
Salta,LA POMA,7,65.0,8,260.0,2,234.0
Salta,LA VIÑA,5,308.0,7,1108.0,3,909.0
Salta,LA CANDELARIA,7,235.0,7,904.0,3,755.0
San Juan,CAPITAL,56,2871.0,60,10619.0,54,9248.0
San Juan,RAWSON,37,4452.0,47,16891.0,23,14120.0
San Juan,RIVADAVIA,35,3186.0,35,11692.0,17,9610.0
San Juan,JACHAL,31,785.0,33,2781.0,27,2398.0
San Juan,POCITO,26,2741.0,27,10435.0,14,8555.0
San Juan,CHIMBAS,20,3724.0,26,13494.0,20,11469.0
San Juan,CAUCETE,23,1556.0,26,5636.0,20,5029.0
San Juan,SARMIENTO,23,1080.0,26,3853.0,20,3304.0
San Juan,25 DE MAYO,22,840.0,22,2998.0,17,2605.0
San Juan,SANTA LUCIA,17,2097.0,20,7756.0,8,6279.0
San Juan,VALLE FERTIL,19,282.0,20,963.0,19,801.0
San Juan,CALINGASTA,17,413.0,17,1476.0,14,1116.0
San Juan,IGLESIA,11,275.0,14,1084.0,10,908.0
San Juan,ALBARDON,13,1063.0,13,4253.0,8,3543.0
San Juan,SAN MARTIN,12,553.0,12,2165.0,5,1718.0
San Juan,ANGACO,12,357.0,12,1380.0,8,1164.0
San Juan,9 DE JULIO,5,490.0,5,1704.0,2,1390.0
San Juan,ULLUM,2,236.0,2,864.0,1,704.0
San Juan,ZONDA,2,241.0,2,881.0,2,729.0
San Luis,GENERAL JUAN MARTIN DE PUEYRREDON,94,7378.0,106,28921.0,111,27055.0
San Luis,GENERAL PEDERNERA,57,4412.0,68,17217.0,67,15346.0
San Luis,AYACUCHO,18,705.0,42,2770.0,40,2471.0
San Luis,JUNIN,21,1091.0,32,4272.0,39,3956.0
San Luis,BELGRANO,12,166.0,28,651.0,30,545.0
San Luis,LIBERTADOR GRL SAN MARTIN,12,133.0,27,445.0,33,444.0
San Luis,CHACABUCO,14,761.0,25,2742.0,27,2612.0
San Luis,CORONEL PRINGLES,13,434.0,24,1710.0,27,1641.0
San Luis,GOBERNADOR DUPUY,13,498.0,14,1708.0,17,1593.0
Santa Cruz,GUER AIKE,38,4350.0,47,16392.0,36,13731.0
Santa Cruz,DESEADO,37,4203.0,45,16156.0,31,13468.0
Santa Cruz,LAGO ARGENTINO,7,981.0,9,3312.0,8,2596.0
Santa Cruz,CORPEN AIKE,5,547.0,6,1949.0,6,1497.0
Santa Cruz,LAGO BUENOS AIRES,4,544.0,5,1616.0,4,1174.0
Santa Cruz,RIO CHICO,2,238.0,4,874.0,3,653.0
Santa Cruz,MAGALLANES,3,437.0,3,1739.0,3,1324.0
Santa Fe,ROSARIO,347,36883.0,347,136909.0,263,111326.0
Santa Fe,LA CAPITAL,196,16404.0,176,60178.0,131,51318.0
Santa Fe,GENERAL OBLIGADO,126,6367.0,149,22397.0,68,19095.0
Santa Fe,CASTELLANOS,127,5723.0,127,20593.0,54,17437.0
Santa Fe,SAN CRISTOBAL,107,2230.0,113,8274.0,46,6990.0
Santa Fe,LAS COLONIAS,98,3203.0,106,11728.0,43,10201.0
Santa Fe,GENERAL LOPEZ,95,5571.0,104,20764.0,60,17525.0
Santa Fe,VERA,84,1902.0,96,6546.0,29,5536.0
Santa Fe,9 DE JULIO,55,988.0,72,3636.0,16,3285.0
Santa Fe,SAN JERONIMO,52,2578.0,62,9086.0,27,7615.0
Santa Fe,SAN LORENZO,50,6225.0,58,22850.0,44,17689.0
Santa Fe,SAN MARTIN,46,1948.0,53,7148.0,22,5857.0
Santa Fe,IRIONDO,38,2142.0,50,7768.0,26,6189.0
Santa Fe,SAN JUSTO,46,1372.0,46,5112.0,17,4294.0
Santa Fe,CONSTITUCION,38,2535.0,45,9370.0,32,8501.0
Santa Fe,CASEROS,32,2173.0,37,8294.0,30,7108.0
Santa Fe,SAN JAVIER,33,1096.0,36,4011.0,14,3004.0
Santa Fe,BELGRANO,18,1365.0,26,4903.0,15,4293.0
Santa Fe,GARAY,19,843.0,22,2920.0,8,2238.0
Santiago del Estero,CAPITAL,140,10160.0,113,37231.0,97,30377.0
Santiago del Estero,BANDA,120,6003.0,105,21600.0,64,17110.0
Santiago del Estero,COPO,34,1344.0,77,4966.0,20,4367.0
Santiago del Estero,PELLEGRINI,52,964.0,69,3634.0,35,2937.0
Santiago del Estero,MORENO,46,1628.0,69,5635.0,22,5178.0
Santiago del Estero,FIGUEROA,52,773.0,68,2803.0,26,2471.0
Santiago del Estero,RIO HONDO,67,2272.0,68,8569.0,43,6856.0
Santiago del Estero,ALBERDI,37,776.0,59,2854.0,18,2369.0
Santiago del Estero,GENERAL TABOADA,42,1684.0,53,6042.0,10,5394.0
Santiago del Estero,AVELLANEDA,30,1026.0,52,3527.0,26,3231.0
Santiago del Estero,JUAN F IBARRA,31,747.0,47,3004.0,15,2585.0
Santiago del Estero,CHOYA,40,1408.0,47,5276.0,30,4520.0
Santiago del Estero,LORETO,52,748.0,45,3051.0,29,2561.0
Santiago del Estero,OJO DE AGUA,29,504.0,44,1714.0,10,1633.0
Santiago del Estero,QUEBRACHOS,27,502.0,43,1585.0,12,1324.0
Santiago del Estero,SALAVINA,29,430.0,39,1746.0,19,1654.0
Santiago del Estero,ROBLES,46,1938.0,39,7173.0,24,5982.0
Santiago del Estero,JIMENEZ,27,661.0,38,2376.0,31,2055.0
Santiago del Estero,SAN MARTIN,27,400.0,36,1602.0,19,1480.0
Santiago del Estero,ATAMISQUI,26,543.0,26,2168.0,14,1880.0
Santiago del Estero,GUASAYAN,18,337.0,23,1095.0,12,941.0
Santiago del Estero,RIVADAVIA,12,179.0,16,649.0,3,539.0
Santiago del Estero,SILIPICA,14,274.0,16,1173.0,14,1076.0
Santiago del Estero,SARMIENTO,9,182.0,16,722.0,8,624.0
Santiago del Estero,AGUIRRE,10,300.0,13,1064.0,6,941.0
Santiago del Estero,BELGRANO,7,372.0,12,1293.0,5,1074.0
Santiago del Estero,MITRE,5,35.0,9,143.0,4,160.0
Tierra del Fuego,RIO GRANDE,26,0.0,30,0.0,25,0.0
Tierra del Fuego,USHUAIA,25,0.0,29,0.0,26,0.0
Tierra del Fuego,TOLHUIN,3,219.0,3,832.0,2,662.0
Tierra del Fuego,ANTARTIDA ARGENTINA,1,0.0,1,0.0,0,0.0
Tucumán,CAPITAL,186,16533.0,138,60342.0,144,50598.0
Tucumán,CRUZ ALTA,89,7894.0,76,29374.0,52,23883.0
Tucumán,LEALES,71,2067.0,71,7892.0,43,6716.0
Tucumán,BURRUYACU,56,1531.0,57,6034.0,39,4942.0
Tucumán,SIMOCA,52,1142.0,52,4427.0,28,3591.0
Tucumán,TAFI VIEJO,58,5842.0,48,21744.0,39,17829.0
Tucumán,CHICLIGASTA,44,2897.0,41,10719.0,31,8977.0
Tucumán,MONTEROS,41,2452.0,38,9280.0,24,7910.0
Tucumán,LULES,35,3188.0,31,12694.0,23,9951.0
Tucumán,YERBA BUENA,34,3179.0,31,11860.0,26,10036.0
Tucumán,GRANEROS,30,553.0,30,1880.0,18,1613.0
Tucumán,RIO CHICO,32,2001.0,30,7740.0,26,6483.0
Tucumán,TRANCAS,25,772.0,25,2854.0,19,2478.0
Tucumán,TAFI DEL VALLE,22,655.0,24,2606.0,11,2135.0
Tucumán,FAMAILLA,24,1593.0,23,5489.0,15,4607.0
Tucumán,JUAN B ALBERDI,20,1045.0,19,4124.0,13,3462.0
Tucumán,LA COCHA,17,659.0,18,2557.0,13,2282.0
