id_biblioteca,nombre_biblioteca,id_depto,año_fundacion,dominio_email
222,Bib.Pop. Guillermo Rawson,6210,1920.0,
113,Bib.Pop. D.F.Sarmiento,6217,,yahoo
3038,Bib.Pop.Soc.Fom. Nuestra Señora de Luján,6217,1982.0,hotmail
3189,Bib.Pub. San José Obrero,6217,1986.0,yahoo
3631,Bib.Pop. Ambulante y Rural de Chascomus,6217,1994.0,hotmail
3890,Bib.Pop. del Ipora Padre Luis Sánchez,6217,1997.0,yahoo
105,Bib.Pop. Dr. Antonio Novaro,6224,,hotmail
3571,Bib.Pop. Esc. Ing. Luis Luiggi,6182,1994.0,
4334,Bib.Pop. Puntaltense Mercedes de San Martín,6182,2002.0,gmail
1312,Bib.Pop. Coronel Dorrego,6189,1928.0,
3483,Bib.Pop. de José A. Guisasola,6189,1982.0,gmail
1347,Bib.Pop. Florentino Ameghino,6189,1928.0,altisa
2225,Bib.Pop. Pringles,6196,1932.0,
101,Bib.Pop. D.F.Sarmiento,6203,1915.0,yahoo
3591,Bib.  Infantil de Coronel Suarez,6203,1991.0,gmail
3894,Asoc.Bib.Pop.Púb.Esc. Dr. Baldomero Fernández Moreno,6203,1969.0,gmail
1883,Bib.Pop. Mariano Moreno,6175,1920.0,
1770,Bib.Pop. Juan Bautista Alberdi,6182,1933.0,gmail
3364,Bib.Pop. Dr. Ricardo Gutierrez,6182,1980.0,hotmail
118,Bib.Pop. Gral. San Martín,6238,1945.0,
167,Bib.Pop. Mariano Moreno,6245,1917.0,
1620,Bib.Pop. Gral. José de San Martín,6245,1932.0,
2151,Bib.Pop.Pub. Bartolomé Mitre,6245,1924.0,
3647,Bib.Pub.Pop.Mun. B. Fernández Moreno,6245,1957.0,
4065,Bib.Pop. Osvaldo H. Merlo,6245,1980.0,yahoo
1673,Bib.Pop. Bernardino Rivadavia,6252,1932.0,gmail
861,Bib.Pop. Juan Bautista Alberdi,6252,1929.0,yahoo
2843,Bib.Pop. Florentino Ameghino,6260,1964.0,gmail
1733,Bib.Pop. Bernardino Rivadavia,6260,1932.0,
3452,Biblioteca Popular El Principito,6260,1980.0,
4357,Soc. de Fom. y Bib. Pop. del Bo. Parque El Trébol,6270,1993.0,gmail
2810,Bib.Pop. D.F.Sarmiento,6270,1959.0,yahoo
3522,Bib. Pop. Lisandro de la Torre,6274,1995.0,
123,Bib.Pop. Del Centro Cult. Sarmiento,6274,1920.0,yahoo
3158,Bib.Pop. Almafuerte,6274,1985.0,yahoo
3499,Bib.Pop. Guillermo Enrique Hudson,6274,1980.0,hotmail
3891,Bib. Pop. Dr. Florencio Varela,6274,1999.0,
3926,Bib.Pop. Hugo del Carril,6274,1980.0,gmail
4051,Bib.Pop. Santo Tomás de Aquino,6274,1980.0,yahoo
4242,Asoc. Cult. y Bib. Pop. Dr. Ernesto de Muro,6274,2004.0,live
3916,Cen. Cult.  y Bib.Pop. Poetisa Alfonsina Storni,6274,2000.0,
4170,Bib. Pop. Florencio Sánchez,6274,1980.0,yahoo
3767,Bib.Mun.Pop. Eloisa M. Rissoli,6280,1997.0,
3518,Bib.Pop.Mun. General José de San Martín,6280,1976.0,yahoo
131,Bib.Pop. Florencio Balcarce,6287,1915.0,yahoo
1707,Bib.Pop. Bernardino Rivadavia,6294,1932.0,
4119,Bib.Pop. Domingo Faustino Sarmiento de Ascención,6294,2003.0,
276,Bib.Pop. Carlos Guido Spano,6308,1980.0,
2789,Bib.Pop. José Hernández del Club Deportivo El León,6315,1944.0,
2914,Bib.Pop. Presidente Mitre,6322,1944.0,yahoo
174,Bib.Pop. Felipe de Robles (h,6329,1914.0,
3292,Bib.Pop.Pub.Mun. General Lavalle,6336,1974.0,hotmail
3633,Bib.Pop.Esc. Antártida Argentina,6351,1996.0,yahoo
126,Bib.Pop. D.F.Sarmiento,6351,1913.0,
2824,Bib. Esc. Pop. Ricardo Rojas,6351,1961.0,
