id_establecimiento,id_nivel
20140903,jardin_maternal
20143100,jardin_maternal
20146900,jardin_maternal
20147100,jardin_maternal
20147201,jardin_maternal
20147300,jardin_maternal
20147400,jardin_maternal
20147600,jardin_maternal
20147900,jardin_maternal
20148000,jardin_maternal
20148700,jardin_maternal
20148900,jardin_maternal
20149000,jardin_maternal
20149900,jardin_maternal
20150400,jardin_maternal
20150601,jardin_maternal
20150800,jardin_maternal
20151100,jardin_maternal
20151300,jardin_maternal
20151400,jardin_maternal
20151900,jardin_maternal
20153000,jardin_maternal
20153800,jardin_maternal
20156300,jardin_maternal
20156902,jardin_maternal
20157400,jardin_maternal
20157401,jardin_maternal
20158301,jardin_maternal
20158600,jardin_maternal
20158702,jardin_maternal
20159205,jardin_maternal
20159600,jardin_maternal
20159702,jardin_maternal
20161000,jardin_maternal
20161100,jardin_maternal
20162100,jardin_maternal
20162900,jardin_maternal
20165000,jardin_maternal
20165301,jardin_maternal
20165302,jardin_maternal
20165600,jardin_maternal
20166600,jardin_maternal
20168400,jardin_maternal
20168500,jardin_maternal
20168900,jardin_maternal
20169000,jardin_maternal
20169101,jardin_maternal
20169200,jardin_maternal
20169600,jardin_maternal
20169700,jardin_maternal
20169900,jardin_maternal
20170001,jardin_maternal
20170301,jardin_maternal
20170500,jardin_maternal
20170900,jardin_maternal
20172700,jardin_maternal
20172800,jardin_maternal
20172900,jardin_maternal
20173000,jardin_maternal
20173200,jardin_maternal
20173300,jardin_maternal
20173600,jardin_maternal
20173900,jardin_maternal
20175600,jardin_maternal
20176000,jardin_maternal
20176900,jardin_maternal
20177500,jardin_maternal
20177801,jardin_maternal
20178200,jardin_maternal
20178500,jardin_maternal
20179201,jardin_maternal
20181100,jardin_maternal
20181200,jardin_maternal
20181700,jardin_maternal
20181900,jardin_maternal
20182200,jardin_maternal
20182600,jardin_maternal
20183800,jardin_maternal
20185600,jardin_maternal
20186800,jardin_maternal
20186900,jardin_maternal
20188200,jardin_maternal
20188400,jardin_maternal
20188700,jardin_maternal
20189000,jardin_maternal
20189100,jardin_maternal
20189200,jardin_maternal
20189501,jardin_maternal
20189700,jardin_maternal
20189900,jardin_maternal
20190000,jardin_maternal
20190100,jardin_maternal
20190500,jardin_maternal
20190600,jardin_maternal
20191000,jardin_maternal
20195700,jardin_maternal
20204700,jardin_maternal
20206100,jardin_maternal
20206200,jardin_maternal
20206300,jardin_maternal
20207500,jardin_maternal
20209000,jardin_maternal
20212700,jardin_maternal
20213200,jardin_maternal
20217800,jardin_maternal
20218000,jardin_maternal
20219601,jardin_maternal
20220600,jardin_maternal
20220700,jardin_maternal
20220800,jardin_maternal
20220900,jardin_maternal
20221200,jardin_maternal
20221300,jardin_maternal
20221400,jardin_maternal
20221700,jardin_maternal
20221800,jardin_maternal
20222400,jardin_maternal
20224401,jardin_maternal
20224600,jardin_maternal
20227000,jardin_maternal
20227100,jardin_maternal
20227200,jardin_maternal
20228000,jardin_maternal
20228400,jardin_maternal
20230800,jardin_maternal
20230900,jardin_maternal
20232900,jardin_maternal
20236200,jardin_maternal
20237400,jardin_maternal
20238900,jardin_maternal
20240100,jardin_maternal
20240300,jardin_maternal
20243900,jardin_maternal
20244000,jardin_maternal
20244400,jardin_maternal
20246600,jardin_maternal
20246900,jardin_maternal
20247000,jardin_maternal
20248800,jardin_maternal
20250800,jardin_maternal
20274000,jardin_maternal
20274500,jardin_maternal
20279300,jardin_maternal
20280000,jardin_maternal
20280200,jardin_maternal
20280300,jardin_maternal
20280400,jardin_maternal
20281600,jardin_maternal
20282400,jardin_maternal
20282500,jardin_maternal
20282700,jardin_maternal
20282800,jardin_maternal
20287100,jardin_maternal
20287600,jardin_maternal
20290200,jardin_maternal
20290700,jardin_maternal
20293200,jardin_maternal
20293400,jardin_maternal
20294200,jardin_maternal
20294400,jardin_maternal
20294800,jardin_maternal
20294900,jardin_maternal
20295000,jardin_maternal
20295300,jardin_maternal
20295500,jardin_maternal
20296700,jardin_maternal
20297500,jardin_maternal
20298300,jardin_maternal
20298500,jardin_maternal
20300101,jardin_maternal
20300400,jardin_maternal
20300700,jardin_maternal
20301100,jardin_maternal
20302500,jardin_maternal
20303700,jardin_maternal
20303800,jardin_maternal
20303900,jardin_maternal
